,host,method,t_number,resolution,subunits,NSC,sasa,radius_inner,radius_ave,radius_outer,diameter_inner,diametr_ave,diameter_outer,pdb,uniprot_id
512,Animal,ELECTRON MICROSCOPY,pT3,3.1,60,-360 e- per virion,"53,343.1 Å² × 60",110Å,249Å,264Å,220Å,498Å,528Å,5neu,E1ACS1
513,Animal,ELECTRON MICROSCOPY,pT3,3.15,60,-420 e- per virion,"12,647.7 Å² × 60",112Å,151Å,154Å,224Å,302Å,308Å,7eno,7ENO
514,Human,ELECTRON MICROSCOPY,pT3,3.2,60,-120 e- per virion,"12,289.7 Å² × 60",110Å,149Å,151Å,220Å,298Å,302Å,5ac9,
515,Human,ELECTRON MICROSCOPY,pT3,3.5,60,-240 e- per virion,"13,615.4 Å² × 60",109Å,149Å,153Å,218Å,298Å,306Å,5aca,
516,Animal,ELECTRON MICROSCOPY,pT3,17.0,60,,,113Å,154Å,157Å,226Å,308Å,314Å,4ctf,
517,Animal,ELECTRON MICROSCOPY,pT3,17.0,60,-240 e- per virion,"11,014.1 Å² × 60",114Å,156Å,158Å,228Å,312Å,316Å,4ctg,
518,,X-RAY DIFFRACTION,pT3,3.0,60,-180 e- per virion,"13,956.0 Å² × 60",110Å,150Å,155Å,220Å,300Å,310Å,2wzr,
519,Animal,ELECTRON MICROSCOPY,pT3,3.4,60,-120 e- per virion,"12,436.9 Å² × 60",110Å,149Å,152Å,220Å,298Å,304Å,7enp,7ENP
520,Human,X-RAY DIFFRACTION,pT3,2.5,60,+60 e- per virion,"12,581.2 Å² × 60",109Å,153Å,160Å,218Å,306Å,320Å,5cfd,
521,Human,X-RAY DIFFRACTION,pT3,2.5,60,+60 e- per virion,"12,580.1 Å² × 60",109Å,153Å,159Å,218Å,306Å,318Å,5cfc,
522,,X-RAY DIFFRACTION,pT3,3.0,60,,"13,377.9 Å² × 60",109Å,154Å,163Å,218Å,308Å,326Å,2mev,P12296
523,,X-RAY DIFFRACTION,pT3,3.2,60,+120 e- per virion,"13,539.0 Å² × 60",109Å,156Å,162Å,218Å,312Å,324Å,1mec,P12296
524,Human,ELECTRON MICROSCOPY,pT3,10.6,60,+60 e- per virion,"14,546.8 Å² × 60",117Å,160Å,164Å,234Å,320Å,328Å,5a8f,C0MHL9
525,,X-RAY DIFFRACTION,pT3,3.5,60,,"15,117.3 Å² × 60",111Å,159Å,168Å,222Å,318Å,336Å,1tmf,P08544
526,,X-RAY DIFFRACTION,pT3,2.8,60,+60 e- per virion,"12,707.5 Å² × 60",112Å,155Å,160Å,224Å,310Å,320Å,1tme,P13899
527,Human,X-RAY DIFFRACTION,pT3,3.0,60,-240 e- per virion,"14,527.4 Å² × 60",105Å,156Å,160Å,210Å,312Å,320Å,4pdw,
528,,X-RAY DIFFRACTION,pT3,3.0,60,-540 e- per virion,"13,225.7 Å² × 60",107Å,154Å,158Å,214Å,308Å,316Å,1bev,P12915
529,Human,ELECTRON MICROSCOPY,pT3,14.0,60,,"53,571.6 Å² × 60",106Å,199Å,202Å,212Å,398Å,404Å,2c8i,
530,Human,ELECTRON MICROSCOPY,pT3,3.9,60,-240 e- per virion,"17,073.8 Å² × 60",110Å,169Å,183Å,220Å,338Å,366Å,6eit,
531,Human,ELECTRON MICROSCOPY,pT3,6.09,60,-120 e- per virion,"19,139.6 Å² × 60",112Å,159Å,164Å,224Å,318Å,328Å,4agy,
532,,X-RAY DIFFRACTION,pT3,2.9,60,-300 e- per virion,"18,096.5 Å² × 60",98Å,158Å,166Å,196Å,316Å,332Å,1d4m,P21404
533,,CRYO-ELECTRON MICROSCOPY,pT3,22.0,60,,"42,268.9 Å² × 60",104Å,173Å,174Å,208Å,346Å,348Å,1jew,P78310
534,,X-RAY DIFFRACTION,pT3,3.5,60,+60 e- per virion,"14,827.7 Å² × 60",104Å,157Å,165Å,208Å,314Å,330Å,1cov,Q66282
535,Human,ELECTRON MICROSCOPY,pT3,8.8,60,-60 e- per virion,"15,263.5 Å² × 60",113Å,159Å,163Å,226Å,318Å,326Å,3j91,
536,Human,ELECTRON MICROSCOPY,pT3,16.0,60,,,115Å,214Å,219Å,230Å,428Å,438Å,4c0y,
537,Human,ELECTRON MICROSCOPY,pT3,13.0,60,,,103Å,215Å,219Å,206Å,430Å,438Å,4c10,
538,Human,ELECTRON MICROSCOPY,pT3,10.0,60,,,115Å,214Å,219Å,230Å,428Å,438Å,4c0u,
539,Human,ELECTRON MICROSCOPY,pT3,2.84,60,-60 e- per virion,"16,333.6 Å² × 60",103Å,155Å,159Å,206Å,310Å,318Å,6iij,
540,Human,ELECTRON MICROSCOPY,pT3,3.12,60,-180 e- per virion,"17,119.8 Å² × 60",114Å,161Å,164Å,228Å,322Å,328Å,6iio,A0A1B3Z4Y8
541,Human,ELECTRON MICROSCOPY,pT3,2.8,60,,"15,289.0 Å² × 60",116Å,161Å,168Å,232Å,322Å,336Å,6akt,W0G0K3
542,Human,ELECTRON MICROSCOPY,pT3,2.7,60,,"16,303.7 Å² × 60",116Å,161Å,168Å,232Å,322Å,336Å,6aku,W0G0K3
543,Human,ELECTRON MICROSCOPY,pT3,3.0,60,-60 e- per virion,"16,324.8 Å² × 60",103Å,155Å,162Å,206Å,310Å,324Å,6aks,
544,Human,ELECTRON MICROSCOPY,pT3,3.0,60,,"18,018.2 Å² × 60",115Å,164Å,168Å,230Å,328Å,336Å,5yhq,
545,Humans,ELECTRON MICROSCOPY,pT3,3.6,60,-120 e- per virion,"25,038.4 Å² × 60",106Å,173Å,174Å,212Å,346Å,348Å,6ilj,
546,Humans,ELECTRON MICROSCOPY,pT3,3.0,60,-180 e- per virion,"25,364.4 Å² × 60",106Å,173Å,174Å,212Å,346Å,348Å,6ilk,
547,Humans,ELECTRON MICROSCOPY,pT3,3.4,60,-360 e- per virion,"31,784.4 Å² × 60",106Å,202Å,208Å,212Å,404Å,416Å,6ilm,
548,Humans,ELECTRON MICROSCOPY,pT3,3.8,60,-240 e- per virion,"15,521.8 Å² × 60",106Å,159Å,168Å,212Å,318Å,336Å,6ill,6ILL
549,Humans,ELECTRON MICROSCOPY,pT3,3.2,60,-480 e- per virion,"14,579.2 Å² × 60",112Å,159Å,167Å,224Å,318Å,334Å,6ilo,6ILO
550,Humans,ELECTRON MICROSCOPY,pT3,3.4,60,-120 e- per virion,"16,028.8 Å² × 60",106Å,159Å,168Å,212Å,318Å,336Å,6iln,
551,Humans,ELECTRON MICROSCOPY,pT3,2.9,60,-240 e- per virion,"15,980.5 Å² × 60",106Å,159Å,168Å,212Å,318Å,336Å,6ilp,
552,Human,ELECTRON MICROSCOPY,pT3,8.0,60,-60 e- per virion,"37,304.5 Å² × 60",108Å,310Å,318Å,216Å,620Å,636Å,1z7z,
553,Human,ELECTRON MICROSCOPY,pT3,2.9,60,-240 e- per virion,"18,617.3 Å² × 60",97Å,156Å,159Å,194Å,312Å,318Å,6sk7,
554,Human,ELECTRON MICROSCOPY,pT3,3.2,60,+60 e- per virion,"14,348.3 Å² × 60",106Å,156Å,161Å,212Å,312Å,322Å,6sk6,
555,Human,ELECTRON MICROSCOPY,pT3,3.6,60,+180 e- per virion,"14,751.6 Å² × 60",105Å,157Å,162Å,210Å,314Å,324Å,6sk5,
556,Human,ELECTRON MICROSCOPY,pT3,2.73,60,-480 e- per virion,"15,475.1 Å² × 60",112Å,156Å,162Å,224Å,312Å,324Å,6cs4,A0A097BW12
557,Human,ELECTRON MICROSCOPY,pT3,3.25,60,-540 e- per virion,"15,523.9 Å² × 60",112Å,156Å,162Å,224Å,312Å,324Å,6cs6,A0A097BW12
558,Human,ELECTRON MICROSCOPY,pT3,3.24,60,-480 e- per virion,"14,805.9 Å² × 60",110Å,156Å,159Å,220Å,312Å,318Å,6crs,A0A097BW12
559,Human,ELECTRON MICROSCOPY,pT3,3.24,60,-660 e- per virion,"13,970.5 Å² × 60",107Å,156Å,162Å,214Å,312Å,324Å,6crp,A0A097BW12
560,Human,ELECTRON MICROSCOPY,pT3,3.24,60,-540 e- per virion,"14,359.1 Å² × 60",107Å,156Å,162Å,214Å,312Å,324Å,6cs5,A0A097BW12
561,Human,ELECTRON MICROSCOPY,pT3,3.56,60,-540 e- per virion,"15,388.2 Å² × 60",114Å,159Å,165Å,228Å,318Å,330Å,6cv3,A0A0X7Z9B1
562,Human,ELECTRON MICROSCOPY,pT3,3.03,60,,"15,986.8 Å² × 60",114Å,157Å,165Å,228Å,314Å,330Å,6cv4,A0A0X7Z9B1
563,Human,ELECTRON MICROSCOPY,pT3,2.9,60,-300 e- per virion,"15,641.4 Å² × 60",113Å,158Å,162Å,226Å,316Å,324Å,6csh,A0A097BW12
564,Human,ELECTRON MICROSCOPY,pT3,3.75,60,-300 e- per virion,"15,597.9 Å² × 60",113Å,158Å,162Å,226Å,316Å,324Å,6csa,A0A097BW12
565,Human,ELECTRON MICROSCOPY,pT3,3.32,60,-300 e- per virion,"14,083.5 Å² × 60",112Å,154Å,161Å,224Å,308Å,322Å,6cru,A0A1I9KXX3
566,Human,ELECTRON MICROSCOPY,pT3,3.46,60,-660 e- per virion,"15,359.5 Å² × 60",109Å,158Å,162Å,218Å,316Å,324Å,6mzi,A0A0A7X639
567,Human,ELECTRON MICROSCOPY,pT3,3.31,60,-300 e- per virion,"14,599.8 Å² × 60",108Å,156Å,160Å,216Å,312Å,320Å,6cs3,A0A097BW12
568,Human,ELECTRON MICROSCOPY,pT3,2.17,60,-720 e- per virion,"13,946.2 Å² × 60",105Å,156Å,162Å,210Å,312Å,324Å,6csg,A0A097BW12
569,Human,ELECTRON MICROSCOPY,pT3,3.24,60,-480 e- per virion,"13,024.4 Å² × 60",104Å,154Å,160Å,208Å,308Å,320Å,6crr,A0A097BW12
570,Human,ELECTRON MICROSCOPY,pT3,2.76,60,-480 e- per virion,"14,083.4 Å² × 60",106Å,156Å,163Å,212Å,312Å,326Å,6cv1,
571,Human,ELECTRON MICROSCOPY,pT3,2.79,60,-480 e- per virion,"14,297.1 Å² × 60",106Å,157Å,163Å,212Å,314Å,326Å,6cv5,
572,Human,ELECTRON MICROSCOPY,pT3,2.86,60,-420 e- per virion,"13,882.3 Å² × 60",105Å,156Å,162Å,210Å,312Å,324Å,6cv2,A0A0X7Z9B1
573,Human,ELECTRON MICROSCOPY,pT3,2.43,60,-540 e- per virion,"13,175.5 Å² × 60",105Å,156Å,161Å,210Å,312Å,322Å,6cvb,
574,Human,ELECTRON MICROSCOPY,pT3,2.26,60,-60 e- per virion,"20,778.3 Å² × 60",107Å,179Å,184Å,214Å,358Å,368Å,5w3m,P03303
575,Human,ELECTRON MICROSCOPY,pT3,2.53,60,-120 e- per virion,"21,387.6 Å² × 60",104Å,178Å,182Å,208Å,356Å,364Å,5w3e,P03303
576,Human,ELECTRON MICROSCOPY,pT3,3.01,60,-300 e- per virion,"21,778.3 Å² × 60",116Å,182Å,187Å,232Å,364Å,374Å,5w3o,P03303
577,Human,ELECTRON MICROSCOPY,pT3,2.71,60,-240 e- per virion,"21,707.4 Å² × 60",103Å,177Å,182Å,206Å,354Å,364Å,5w3l,P03303
578,Human,ELECTRON MICROSCOPY,pT3,2.79,60,-480 e- per virion,"17,725.7 Å² × 60",99Å,154Å,167Å,198Å,308Å,334Å,5k0u,
579,Human,ELECTRON MICROSCOPY,pT3,3.16,60,-720 e- per virion,"19,088.2 Å² × 60",98Å,155Å,169Å,196Å,310Å,338Å,5jzg,E5D8F2
580,Human,X-RAY DIFFRACTION,pT3,3.1,60,-300 e- per virion,"14,994.8 Å² × 60",103Å,156Å,165Å,206Å,312Å,330Å,2x5i,
581,Human,X-RAY DIFFRACTION,pT3,3.1,60,,"16,188.9 Å² × 60",113Å,157Å,167Å,226Å,314Å,334Å,4rr3,
582,Human,X-RAY DIFFRACTION,pT3,3.81,60,+60 e- per virion,"16,503.5 Å² × 60",113Å,158Å,165Å,226Å,316Å,330Å,4rs5,
583,Animal,X-RAY DIFFRACTION,pT3,2.3,60,-360 e- per virion,"13,148.8 Å² × 60",107Å,153Å,158Å,214Å,306Å,316Å,5osn,Q65480
584,Human,X-RAY DIFFRACTION,pT3,2.65,60,,"15,301.6 Å² × 60",103Å,155Å,159Å,206Å,310Å,318Å,5c4w,
585,Human,X-RAY DIFFRACTION,pT3,2.9,60,-360 e- per virion,"16,780.3 Å² × 60",103Å,160Å,163Å,206Å,320Å,326Å,4q4v,
586,Human,X-RAY DIFFRACTION,pT3,1.65,60,-180 e- per virion,"16,841.6 Å² × 60",103Å,160Å,163Å,206Å,320Å,326Å,4q4x,
587,Human,X-RAY DIFFRACTION,pT3,1.88,60,-120 e- per virion,"16,682.6 Å² × 60",103Å,160Å,163Å,206Å,320Å,326Å,4q4y,
588,Human,X-RAY DIFFRACTION,pT3,2.7,60,,"15,642.0 Å² × 60",103Å,155Å,159Å,206Å,310Å,318Å,5c9a,
589,Human,X-RAY DIFFRACTION,pT3,4.0,60,-360 e- per virion,"15,479.1 Å² × 60",115Å,161Å,167Å,230Å,322Å,334Å,3vbu,B2ZUN0
590,Human,X-RAY DIFFRACTION,pT3,3.9,60,-240 e- per virion,"15,166.3 Å² × 60",114Å,160Å,166Å,228Å,320Å,332Å,4gmp,
591,Human,X-RAY DIFFRACTION,pT3,2.88,60,-300 e- per virion,"15,289.1 Å² × 60",115Å,161Å,167Å,230Å,322Å,334Å,3vbo,B2ZUN0
592,Human,X-RAY DIFFRACTION,pT3,3.8,60,-420 e- per virion,"15,318.4 Å² × 60",115Å,161Å,167Å,230Å,322Å,334Å,3vbr,B2ZUN0
593,Human,X-RAY DIFFRACTION,pT3,2.6,60,-240 e- per virion,"14,556.2 Å² × 60",105Å,155Å,159Å,210Å,310Å,318Å,3vbf,B2ZUN0
594,Human,X-RAY DIFFRACTION,pT3,2.3,60,-420 e- per virion,"14,594.4 Å² × 60",105Å,155Å,159Å,210Å,310Å,318Å,3vbh,B2ZUN1
595,Human,X-RAY DIFFRACTION,pT3,3.0,60,-120 e- per virion,"14,549.0 Å² × 60",116Å,161Å,166Å,232Å,322Å,332Å,4jgz,
596,Human,X-RAY DIFFRACTION,pT3,3.0,60,-180 e- per virion,"14,352.2 Å² × 60",116Å,161Å,166Å,232Å,322Å,332Å,4jgy,
597,Human,X-RAY DIFFRACTION,pT3,3.0,60,-300 e- per virion,"14,711.0 Å² × 60",105Å,155Å,159Å,210Å,310Å,318Å,3vbs,B2ZUN1
598,Human,X-RAY DIFFRACTION,pT3,3.8,60,-420 e- per virion,"14,799.9 Å² × 60",104Å,153Å,158Å,208Å,306Å,316Å,4aed,
599,Human,X-RAY DIFFRACTION,pT3,2.65,60,-300 e- per virion,"14,476.0 Å² × 60",105Å,155Å,160Å,210Å,310Å,320Å,4cdq,
600,Human,X-RAY DIFFRACTION,pT3,2.75,60,-360 e- per virion,"14,571.3 Å² × 60",105Å,156Å,159Å,210Å,312Å,318Å,4cew,
601,Human,X-RAY DIFFRACTION,pT3,2.8,60,-300 e- per virion,"14,500.0 Å² × 60",105Å,155Å,159Å,210Å,310Å,318Å,4cdx,
602,Human,X-RAY DIFFRACTION,pT3,2.8,60,-360 e- per virion,"14,456.2 Å² × 60",105Å,156Å,160Å,210Å,312Å,320Å,4cdu,
603,Human,X-RAY DIFFRACTION,pT3,2.8,60,-360 e- per virion,"14,625.0 Å² × 60",105Å,155Å,159Å,210Å,310Å,318Å,4cdw,
604,Human,X-RAY DIFFRACTION,pT3,2.75,60,-420 e- per virion,"14,681.5 Å² × 60",105Å,156Å,159Å,210Å,312Å,318Å,4cey,
605,Human,X-RAY DIFFRACTION,pT3,2.0,60,-300 e- per virion,"13,635.4 Å² × 60",106Å,157Å,157Å,212Å,314Å,314Å,4wm8,
606,Human,X-RAY DIFFRACTION,pT3,2.15,60,-180 e- per virion,"13,848.7 Å² × 60",105Å,156Å,163Å,210Å,312Å,326Å,5bnp,
607,Human,X-RAY DIFFRACTION,pT3,2.32,60,-240 e- per virion,"13,586.2 Å² × 60",105Å,152Å,162Å,210Å,304Å,324Å,5bnn,
608,Human,X-RAY DIFFRACTION,pT3,2.15,60,-240 e- per virion,"13,709.7 Å² × 60",105Å,157Å,162Å,210Å,314Å,324Å,5bno,
609,Human,X-RAY DIFFRACTION,pT3,2.32,60,-240 e- per virion,"13,613.5 Å² × 60",105Å,156Å,159Å,210Å,312Å,318Å,4wm7,
610,Human,X-RAY DIFFRACTION,pT3,2.5,60,-120 e- per virion,"16,539.5 Å² × 60",101Å,154Å,159Å,202Å,308Å,318Å,5c8c,
611,Human,X-RAY DIFFRACTION,pT3,3.15,60,,"15,082.0 Å² × 60",114Å,158Å,162Å,228Å,316Å,324Å,4rqp,
612,Human,X-RAY DIFFRACTION,pT3,3.65,60,-120 e- per virion,"15,470.9 Å² × 60",113Å,158Å,164Å,226Å,316Å,328Å,4yvs,F6KTB0
613,,X-RAY DIFFRACTION,pT3,3.55,60,-180 e- per virion,"14,836.7 Å² × 60",103Å,155Å,164Å,206Å,310Å,328Å,1ev1,
614,Humans,ELECTRON MICROSCOPY,pT3,3.5,60,+120 e- per virion,"14,607.3 Å² × 60",103Å,156Å,165Å,206Å,312Å,330Å,6rjf,
615,,X-RAY DIFFRACTION,pT3,2.9,60,-360 e- per virion,"15,705.5 Å² × 60",103Å,157Å,166Å,206Å,314Å,332Å,1h8t,
616,,CRYO-ELECTRON MICROSCOPY,pT3,16.0,60,-300 e- per virion,"22,720.6 Å² × 60",105Å,171Å,175Å,210Å,342Å,350Å,1upn,Q8JKE8
617,Human,ELECTRON MICROSCOPY,pT3,3.36,60,-540 e- per virion,"14,194.2 Å² × 60",115Å,164Å,164Å,230Å,328Å,328Å,6hbh,Q8V635
618,Human,ELECTRON MICROSCOPY,pT3,3.16,60,-180 e- per virion,"13,529.3 Å² × 60",117Å,159Å,163Å,234Å,318Å,326Å,6hbj,Q8V635
619,Human,ELECTRON MICROSCOPY,pT3,3.16,60,-360 e- per virion,"12,048.6 Å² × 60",108Å,152Å,157Å,216Å,304Å,314Å,6hbg,
620,Human,ELECTRON MICROSCOPY,pT3,4.8,60,+60 e- per virion,"20,042.2 Å² × 60",102Å,168Å,175Å,204Å,336Å,350Å,3j69,
621,Human,ELECTRON MICROSCOPY,pT3,9.54,60,-600 e- per virion,"14,551.7 Å² × 60",115Å,159Å,170Å,230Å,318Å,340Å,3j2j,P21404
622,Human,ELECTRON MICROSCOPY,pT3,2.98,60,-360 e- per virion,"15,289.6 Å² × 60",104Å,155Å,159Å,208Å,310Å,318Å,6uh6,
623,Human,ELECTRON MICROSCOPY,pT3,2.87,60,-420 e- per virion,"14,943.4 Å² × 60",104Å,155Å,159Å,208Å,310Å,318Å,6uh7,
624,Human,ELECTRON MICROSCOPY,pT3,3.59,60,-300 e- per virion,"15,709.6 Å² × 60",104Å,156Å,160Å,208Å,312Å,320Å,6diz,
625,Humans,ELECTRON MICROSCOPY,pT3,3.6,60,-480 e- per virion,"16,274.6 Å² × 60",117Å,167Å,172Å,234Å,334Å,344Å,6o06,
626,Human,ELECTRON MICROSCOPY,pT3,6.8,60,-120 e- per virion,"33,865.9 Å² × 60",117Å,223Å,227Å,234Å,446Å,454Å,5zuf,G5CUH3
627,Human,ELECTRON MICROSCOPY,pT3,4.9,60,-240 e- per virion,"33,722.9 Å² × 60",117Å,223Å,226Å,234Å,446Å,452Å,5zud,G5CUH3
628,Human,X-RAY DIFFRACTION,pT3,1.4,60,-180 e- per virion,"16,244.4 Å² × 60",104Å,159Å,163Å,208Å,318Å,326Å,4q4w,
629,Human,ELECTRON MICROSCOPY,pT3,6.09,60,,"16,546.5 Å² × 60",117Å,161Å,164Å,234Å,322Å,328Å,4biq,
630,Human,ELECTRON MICROSCOPY,pT3,8.23,60,-480 e- per virion,"16,784.2 Å² × 60",115Å,158Å,160Å,230Å,316Å,320Å,4bip,
631,Humans,ELECTRON MICROSCOPY,pT3,2.4,60,-240 e- per virion,"16,163.6 Å² × 60",107Å,164Å,173Å,214Å,328Å,346Å,7bg7,P03303
632,Humans,ELECTRON MICROSCOPY,pT3,2.6,60,-120 e- per virion,"12,743.6 Å² × 60",107Å,156Å,160Å,214Å,312Å,320Å,7bg6,P03303
633,Human,X-RAY DIFFRACTION,pT3,2.74,60,+60 e- per virion,"14,769.9 Å² × 60",102Å,156Å,164Å,204Å,312Å,328Å,4gb3,
634,Human,X-RAY DIFFRACTION,pT3,2.7,60,-420 e- per virion,"15,213.3 Å² × 60",103Å,155Å,158Å,206Å,310Å,316Å,3zfe,
635,Human,X-RAY DIFFRACTION,pT3,3.4,60,-600 e- per virion,"14,975.3 Å² × 60",102Å,154Å,158Å,204Å,308Å,316Å,3zff,
636,Human,X-RAY DIFFRACTION,pT3,3.2,60,-540 e- per virion,"14,845.9 Å² × 60",103Å,154Å,158Å,206Å,308Å,316Å,3zfg,
637,Human,X-RAY DIFFRACTION,pT3,3.8,60,-300 e- per virion,"15,485.2 Å² × 60",114Å,160Å,166Å,228Å,320Å,332Å,4n43,
638,Human,X-RAY DIFFRACTION,pT3,3.31,60,-540 e- per virion,"14,164.2 Å² × 60",103Å,153Å,158Å,206Å,306Å,316Å,4n53,
639,Human,X-RAY DIFFRACTION,pT3,3.5,60,-420 e- per virion,"17,882.1 Å² × 60",103Å,167Å,173Å,206Å,334Å,346Å,3dpr,
640,Humans,ELECTRON MICROSCOPY,pT3,4.0,60,+240 e- per virion,"14,829.0 Å² × 60",103Å,157Å,166Å,206Å,314Å,332Å,6gzv,
641,Human,ELECTRON MICROSCOPY,pT3,6.5,60,+180 e- per virion,"9,368.1 Å² × 60",122Å,165Å,166Å,244Å,330Å,332Å,5tsk,5TSK
642,Human,ELECTRON MICROSCOPY,pT3,6.5,60,-120 e- per virion,"10,088.4 Å² × 60",119Å,157Å,157Å,238Å,314Å,314Å,5tsl,5TSL
643,Humans,ELECTRON MICROSCOPY,pT3,3.9,60,-120 e- per virion,"14,421.1 Å² × 60",117Å,157Å,163Å,234Å,314Å,326Å,7nuo,P03303
644,Humans,ELECTRON MICROSCOPY,pT3,3.6,60,-360 e- per virion,"13,806.2 Å² × 60",108Å,160Å,162Å,216Å,320Å,324Å,7nun,
645,Humans,ELECTRON MICROSCOPY,pT3,2.8,60,-420 e- per virion,"12,936.9 Å² × 60",107Å,155Å,160Å,214Å,310Å,320Å,7nuq,P03303
646,Human,ELECTRON MICROSCOPY,pT3,3.2,60,-540 e- per virion,"17,147.5 Å² × 60",107Å,167Å,169Å,214Å,334Å,338Å,6ppo,E5D8F2
647,Humans,ELECTRON MICROSCOPY,pT3,3.5,60,-540 e- per virion,"17,638.8 Å² × 60",107Å,168Å,170Å,214Å,336Å,340Å,6psf,E5D8F2
648,Humans,ELECTRON MICROSCOPY,pT3,4.0,60,+60 e- per virion,"12,906.5 Å² × 60",119Å,158Å,161Å,238Å,316Å,322Å,7nul,P03303
649,Humans,ELECTRON MICROSCOPY,pT3,3.9,60,-180 e- per virion,"12,774.7 Å² × 60",120Å,158Å,162Å,240Å,316Å,324Å,7num,P03303
650,Human,ELECTRON MICROSCOPY,pT3,16.0,60,,"41,546.9 Å² × 60",107Å,189Å,190Å,214Å,378Å,380Å,1m11,
651,Human,X-RAY DIFFRACTION,pT3,2.75,60,,"15,364.6 Å² × 60",104Å,156Å,159Å,208Å,312Å,318Å,5abj,
652,Human,ELECTRON MICROSCOPY,pT3,3.1,60,-120 e- per virion,"15,665.9 Å² × 60",119Å,165Å,170Å,238Å,330Å,340Å,5xs4,
653,Human,ELECTRON MICROSCOPY,pT3,3.3,60,-180 e- per virion,"16,053.4 Å² × 60",119Å,162Å,170Å,238Å,324Å,340Å,5xs5,A0A0K2BNC7
654,Human,ELECTRON MICROSCOPY,pT3,3.26,60,-300 e- per virion,"15,585.6 Å² × 60",107Å,158Å,161Å,214Å,316Å,322Å,6lqd,
655,Human,ELECTRON MICROSCOPY,pT3,3.4,60,-1320 e- per virion,"31,283.7 Å² × 60",102Å,210Å,214Å,204Å,420Å,428Å,6i2k,
656,Humans,ELECTRON MICROSCOPY,pT3,3.3,60,-360 e- per virion,"15,367.8 Å² × 60",104Å,156Å,160Å,208Å,312Å,320Å,6dij,
657,Human,ELECTRON MICROSCOPY,pT3,3.04,60,-360 e- per virion,"15,601.1 Å² × 60",104Å,156Å,159Å,208Å,312Å,318Å,6uh1,
658,,X-RAY DIFFRACTION,pT3,3.3,60,-420 e- per virion,"15,859.4 Å² × 60",103Å,157Å,165Å,206Å,314Å,330Å,1mqt,24061819
659,,X-RAY DIFFRACTION,pT3,3.0,60,-600 e- per virion,"15,260.6 Å² × 60",104Å,157Å,163Å,208Å,314Å,326Å,1oop,P13900
660,Human,ELECTRON MICROSCOPY,pT3,3.33,60,,"16,240.1 Å² × 60",119Å,164Å,167Å,238Å,328Å,334Å,6lhb,A0A1D3TZV2
661,Human,ELECTRON MICROSCOPY,pT3,3.07,60,+180 e- per virion,"15,099.3 Å² × 60",118Å,160Å,164Å,236Å,320Å,328Å,6lhl,A0A2S1BJ89
662,Human,ELECTRON MICROSCOPY,pT3,3.43,60,+60 e- per virion,"17,042.6 Å² × 60",118Å,162Å,167Å,236Å,324Å,334Å,6lhc,
663,Human,ELECTRON MICROSCOPY,pT3,3.13,60,+120 e- per virion,"15,758.0 Å² × 60",117Å,161Å,165Å,234Å,322Å,330Å,6lho,A0A2S1BJ89
664,Human,ELECTRON MICROSCOPY,pT3,3.56,60,+180 e- per virion,"16,636.9 Å² × 60",105Å,158Å,161Å,210Å,316Å,322Å,6lha,
665,Human,ELECTRON MICROSCOPY,pT3,3.3,60,+300 e- per virion,"26,123.7 Å² × 60",105Å,185Å,191Å,210Å,370Å,382Å,6lhp,
666,Human,ELECTRON MICROSCOPY,pT3,2.65,60,,"15,600.3 Å² × 60",105Å,156Å,158Å,210Å,312Å,316Å,6lhk,
667,Human,ELECTRON MICROSCOPY,pT3,3.06,60,,"25,203.3 Å² × 60",105Å,184Å,187Å,210Å,368Å,374Å,6lhq,
668,Human,ELECTRON MICROSCOPY,pT3,4.8,60,-180 e- per virion,"9,948.8 Å² × 60",136Å,186Å,186Å,272Å,372Å,372Å,3jau,X2L816
669,Animal,X-RAY DIFFRACTION,pT3,3.2,60,-60 e- per virion,"16,738.0 Å² × 60",100Å,159Å,161Å,200Å,318Å,322Å,1z7s,33304569
670,Human,ELECTRON MICROSCOPY,pT3,6.3,60,-360 e- per virion,"15,479.1 Å² × 60",115Å,161Å,167Å,230Å,322Å,334Å,3j22,
671,Human,ELECTRON MICROSCOPY,pT3,9.2,60,-360 e- per virion,"15,479.1 Å² × 60",115Å,161Å,167Å,230Å,322Å,334Å,3j23,
672,Human,ELECTRON MICROSCOPY,pT3,7.2,60,-660 e- per virion,"25,289.7 Å² × 60",103Å,193Å,196Å,206Å,386Å,392Å,3iyp,
673,Human,ELECTRON MICROSCOPY,pT3,3.9,60,+60 e- per virion,"16,344.6 Å² × 60",104Å,159Å,167Å,208Å,318Å,334Å,3jd7,Q66282
674,Human,ELECTRON MICROSCOPY,pT3,3.9,60,+300 e- per virion,"26,841.3 Å² × 60",105Å,190Å,191Å,210Å,380Å,382Å,6ad0,
675,Human,ELECTRON MICROSCOPY,pT3,4.2,60,-120 e- per virion,"16,877.2 Å² × 60",119Å,164Å,167Å,238Å,328Å,334Å,6ad1,A0A1V0FT21
676,Human,ELECTRON MICROSCOPY,pT3,3.4,60,+60 e- per virion,"16,409.8 Å² × 60",116Å,161Å,169Å,232Å,322Å,338Å,6acy,A0A1V0FT21
677,Human,ELECTRON MICROSCOPY,pT3,4.3,60,+60 e- per virion,"17,253.6 Å² × 60",117Å,164Å,167Å,234Å,328Å,334Å,6acz,A0A1V0FT21
